product_class,Month,sales_volume
C1014,12/1/2013,349978
C1014,1/1/2014,302163
C1014,2/1/2014,264199
C1014,3/1/2014,345750
C1014,4/1/2014,263976
C1014,5/1/2014,270022
C1014,6/1/2014,275270
C1014,7/1/2014,318903
C1014,8/1/2014,273727
C1014,9/1/2014,311458
C1014,10/1/2014,333806
C1014,11/1/2014,334641
C1014,12/1/2014,406357
C1014,1/1/2015,297880
C1014,2/1/2015,291309
C1014,3/1/2015,340960
C1014,4/1/2015,324200
C1014,5/1/2015,347976
C1014,6/1/2015,324125
C1014,7/1/2015,337416
C1014,8/1/2015,355779
C1014,9/1/2015,336528
C1014,10/1/2015,342339
C1014,11/1/2015,328473
C1014,12/1/2015,392984
C1014,1/1/2016,302334
C1014,2/1/2016,295519
C1014,3/1/2016,317022
C1014,4/1/2016,416542
C1014,5/1/2016,353754
C1014,6/1/2016,310300
C1014,7/1/2016,332936
C1014,8/1/2016,327966
C1014,9/1/2016,349746
C1014,10/1/2016,368132
C1014,11/1/2016,356371
C1014,12/1/2016,408398
C1014,1/1/2017,311354
C1014,2/1/2017,304673
C1014,3/1/2017,339453
C1014,4/1/2017,344970
C1014,5/1/2017,340847
C1014,6/1/2017,320523
C1014,7/1/2017,340431
C1016,1/1/2013,358216
C1016,2/1/2013,321158
C1016,3/1/2013,369151
C1016,4/1/2013,350735
C1016,5/1/2013,395277
C1016,6/1/2013,408048
C1016,7/1/2013,382785
C1016,8/1/2013,408279
C1016,9/1/2013,391730
C1016,10/1/2013,390384
C1016,11/1/2013,387374
C1016,12/1/2013,376463
C1016,1/1/2014,396104
C1016,2/1/2014,376161
C1016,3/1/2014,434991
C1016,4/1/2014,377596
C1016,5/1/2014,397036
C1016,6/1/2014,414583
C1016,7/1/2014,383488
C1016,8/1/2014,399523
C1016,9/1/2014,429563
C1016,10/1/2014,399347
C1016,11/1/2014,404446
C1016,12/1/2014,439557
C1016,1/1/2015,468852
C1016,2/1/2015,410474
C1016,3/1/2015,454129
C1016,4/1/2015,440432
C1016,5/1/2015,503691
C1016,6/1/2015,468407
C1016,7/1/2015,567178
C1016,8/1/2015,620872
C1016,9/1/2015,647508
C1016,10/1/2015,649747
C1016,11/1/2015,639808
C1016,12/1/2015,621737
C1016,1/1/2016,709715
C1016,2/1/2016,655389
C1016,3/1/2016,693251
C1016,4/1/2016,706723
C1016,5/1/2016,736706
C1016,6/1/2016,718357
C1016,7/1/2016,728137
C1016,8/1/2016,685644
C1016,9/1/2016,711525
C1016,10/1/2016,761773
C1016,11/1/2016,747989
C1016,12/1/2016,862268
C1016,1/1/2017,886174
C1016,2/1/2017,822703
C1016,3/1/2017,958033
C1016,4/1/2017,928015
C1016,5/1/2017,939931
C1016,6/1/2017,947848
C1016,7/1/2017,934025
C1018,9/1/2015,236
C1018,10/1/2015,287
C1018,11/1/2015,218
C1018,12/1/2015,203
C1018,1/1/2016,239
C1018,2/1/2016,171
C1018,3/1/2016,185
C1018,4/1/2016,170
C1018,5/1/2016,187
C1018,6/1/2016,153
C1018,7/1/2016,190
C1018,8/1/2016,179
C1018,9/1/2016,191
C1018,10/1/2016,127
C1018,11/1/2016,150
C1018,12/1/2016,168
C1018,1/1/2017,159
C1018,2/1/2017,174
C1018,3/1/2017,152
C1018,4/1/2017,118
C1018,5/1/2017,47
C1018,6/1/2017,80
C1018,7/1/2017,135
C1022,1/1/2013,35954
C1022,2/1/2013,31747
C1022,3/1/2013,37653
C1022,4/1/2013,37910
C1022,5/1/2013,45048
C1022,6/1/2013,43164
C1022,7/1/2013,58245
C1022,8/1/2013,95255
C1022,9/1/2013,101576
C1022,10/1/2013,99611
C1022,11/1/2013,104013
C1022,12/1/2013,143205
C1022,1/1/2014,124400
C1022,2/1/2014,120515
C1022,3/1/2014,137373
C1022,4/1/2014,123852
C1022,5/1/2014,131898
C1022,6/1/2014,129141
C1022,7/1/2014,125362
C1022,8/1/2014,129417
C1022,9/1/2014,121305
C1022,10/1/2014,119136
C1022,11/1/2014,128152
C1022,12/1/2014,136827
C1022,1/1/2015,122233
C1022,2/1/2015,115809
C1022,3/1/2015,150764
C1022,4/1/2015,141030
C1022,5/1/2015,135012
C1022,6/1/2015,143929
C1022,7/1/2015,154126
C1022,8/1/2015,152364
C1022,9/1/2015,146378
C1022,10/1/2015,146111
C1022,11/1/2015,147321
C1022,12/1/2015,174954
C1022,1/1/2016,158485
C1022,2/1/2016,139113
C1022,3/1/2016,145648
C1022,4/1/2016,153733
C1022,5/1/2016,150830
C1022,6/1/2016,143350
C1022,7/1/2016,142530
C1022,8/1/2016,144987
C1022,9/1/2016,141356
C1022,10/1/2016,159655
C1022,11/1/2016,197369
C1022,12/1/2016,224280
C1022,1/1/2017,178485
C1022,2/1/2017,171730
C1022,3/1/2017,315826
C1022,4/1/2017,184830
C1022,5/1/2017,409572
C1022,6/1/2017,241751
C1022,7/1/2017,183259
C1024,1/1/2013,10055
C1024,2/1/2013,9605
C1024,3/1/2013,11775
C1024,4/1/2013,11714
C1024,5/1/2013,11127
C1024,6/1/2013,8397
C1024,7/1/2013,5920
C1024,8/1/2013,8187
C1024,9/1/2013,10026
C1024,10/1/2013,10013
C1024,11/1/2013,9521
C1024,12/1/2013,12328
C1024,1/1/2014,10234
C1024,2/1/2014,9448
C1024,3/1/2014,10883
C1024,4/1/2014,9300
C1024,5/1/2014,6167
C1024,6/1/2014,12175
C1024,7/1/2014,14143
C1024,8/1/2014,16275
C1024,9/1/2014,16908
C1024,10/1/2014,14802
C1024,11/1/2014,23572
C1024,12/1/2014,23038
C1024,1/1/2015,15341
C1024,2/1/2015,13363
C1024,3/1/2015,16658
C1024,4/1/2015,14239
C1024,5/1/2015,14821
C1024,6/1/2015,13176
C1024,7/1/2015,13356
C1024,8/1/2015,14186
C1024,9/1/2015,12975
C1024,10/1/2015,13023
C1024,11/1/2015,12137
C1024,12/1/2015,14738
C1024,1/1/2016,12027
C1024,2/1/2016,11766
C1024,3/1/2016,11801
C1024,4/1/2016,12079
C1024,5/1/2016,12142
C1024,6/1/2016,10652
C1024,7/1/2016,12984
C1024,8/1/2016,12395
C1024,9/1/2016,11624
C1024,10/1/2016,11823
C1024,11/1/2016,12357
C1024,12/1/2016,17735
C1024,1/1/2017,13400
C1024,2/1/2017,11637
C1024,3/1/2017,13850
C1024,4/1/2017,12530
C1024,5/1/2017,12730
C1024,6/1/2017,12475
C1024,7/1/2017,14393
C1025,1/1/2013,4051
C1025,2/1/2013,3272
C1025,3/1/2013,3988
C1025,4/1/2013,4225
C1025,5/1/2013,4637
C1025,6/1/2013,5708
C1025,7/1/2013,6300
C1025,8/1/2013,5912
C1025,9/1/2013,5027
C1025,10/1/2013,4031
C1025,11/1/2013,4491
C1025,12/1/2013,6146
C1025,1/1/2014,4845
C1025,2/1/2014,4789
C1025,3/1/2014,5489
C1025,4/1/2014,5162
C1025,5/1/2014,7011
C1025,6/1/2014,8274
C1025,7/1/2014,8835
C1025,8/1/2014,2174
C1025,9/1/2014,371
C1025,10/1/2014,246
C1025,11/1/2014,137
C1025,12/1/2014,4863
C1025,1/1/2015,5012
C1025,2/1/2015,4202
C1025,3/1/2015,5599
C1025,4/1/2015,4945
C1025,5/1/2015,4634
C1025,6/1/2015,4679
C1025,7/1/2015,4868
C1025,8/1/2015,5005
C1025,9/1/2015,4585
C1025,10/1/2015,5020
C1025,11/1/2015,4869
C1025,12/1/2015,6260
C1025,1/1/2016,5110
C1025,2/1/2016,5063
C1025,3/1/2016,5658
C1025,4/1/2016,5764
C1025,5/1/2016,6687
C1025,6/1/2016,4665
C1025,7/1/2016,1035
C1025,8/1/2016,1101
C1025,9/1/2016,1862
C1025,10/1/2016,2139
C1025,11/1/2016,5571
C1025,12/1/2016,5900
C1025,1/1/2017,5099
C1025,2/1/2017,5402
C1025,3/1/2017,3703
C1025,4/1/2017,1688
C1025,5/1/2017,2507
C1025,6/1/2017,579
C1025,7/1/2017,680
C1026,1/1/2013,101625
C1026,2/1/2013,96907
C1026,3/1/2013,120937
C1026,4/1/2013,112014
C1026,5/1/2013,124609
C1026,6/1/2013,126874
C1026,7/1/2013,121488
C1026,8/1/2013,128105
C1026,9/1/2013,151451
C1026,10/1/2013,158772
C1026,11/1/2013,157533
C1026,12/1/2013,143951
C1026,1/1/2014,160934
C1026,2/1/2014,148802
C1026,3/1/2014,164634
C1026,4/1/2014,150904
C1026,5/1/2014,163617
C1026,6/1/2014,157865
C1026,7/1/2014,166236
C1026,8/1/2014,168917
C1026,9/1/2014,185388
C1026,10/1/2014,185976
C1026,11/1/2014,189405
C1026,12/1/2014,170170
C1026,1/1/2015,188523
C1026,2/1/2015,162524
C1026,3/1/2015,189193
C1026,4/1/2015,176193
C1026,5/1/2015,224229
C1026,6/1/2015,191255
C1026,7/1/2015,194405
C1026,8/1/2015,207034
C1026,9/1/2015,210090
C1026,10/1/2015,208989
C1026,11/1/2015,198448
C1026,12/1/2015,174865
C1026,1/1/2016,197279
C1026,2/1/2016,175615
C1026,3/1/2016,193782
C1026,4/1/2016,224091
C1026,5/1/2016,229557
C1026,6/1/2016,199445
C1026,7/1/2016,198466
C1026,8/1/2016,186598
C1026,9/1/2016,196145
C1026,10/1/2016,201632
C1026,11/1/2016,219217
C1026,12/1/2016,192517
C1026,1/1/2017,229739
C1026,2/1/2017,188013
C1026,3/1/2017,199768
C1026,4/1/2017,232612
C1026,5/1/2017,228307
C1026,6/1/2017,239717
C1026,7/1/2017,226819
C1027,1/1/2013,809
C1027,2/1/2013,678
C1027,3/1/2013,843
C1027,4/1/2013,892
C1027,5/1/2013,706
C1027,6/1/2013,604
C1027,7/1/2013,602
C1027,8/1/2013,513
C1027,9/1/2013,638
C1027,10/1/2013,589
C1027,11/1/2013,632
C1027,12/1/2013,426
C1027,1/1/2014,676
C1027,2/1/2014,586
C1027,3/1/2014,695
C1027,4/1/2014,705
C1027,5/1/2014,738
C1027,6/1/2014,491
C1027,7/1/2014,360
C1027,8/1/2014,969
C1027,9/1/2014,1030
C1027,10/1/2014,918
C1027,11/1/2014,845
C1027,12/1/2014,703
C1027,1/1/2015,679
C1027,2/1/2015,539
C1027,3/1/2015,793
C1027,4/1/2015,803
C1027,5/1/2015,796
C1027,6/1/2015,890
C1027,7/1/2015,233
C1027,8/1/2015,41
C1027,9/1/2015,233
C1027,10/1/2015,440
C1027,11/1/2015,473
C1027,12/1/2015,409
C1027,1/1/2016,291
C1027,2/1/2016,215
C1027,3/1/2016,159
C1027,4/1/2016,68
C1027,5/1/2016,11
C1027,6/1/2016,1
C1027,7/1/2016,29
C1027,8/1/2016,109
C1027,9/1/2016,137
C1027,10/1/2016,170
C1027,11/1/2016,146
C1027,12/1/2016,248
C1027,1/1/2017,205
C1027,2/1/2017,209
C1027,3/1/2017,208
C1027,4/1/2017,168
C1027,5/1/2017,234
C1027,6/1/2017,844
C1027,7/1/2017,1000
C1028,1/1/2013,58105
C1028,2/1/2013,73336
C1028,3/1/2013,84221
C1028,4/1/2013,73316
C1028,5/1/2013,92780
C1028,6/1/2013,85998
C1028,7/1/2013,95715
C1028,8/1/2013,99906
C1028,9/1/2013,103236
C1028,10/1/2013,108047
C1028,11/1/2013,118734
C1028,12/1/2013,223161
C1028,1/1/2014,94759
C1028,2/1/2014,120198
C1028,3/1/2014,118263
C1028,4/1/2014,120947
C1028,5/1/2014,136822
C1028,6/1/2014,119092
C1028,7/1/2014,118786
C1028,8/1/2014,121771
C1028,9/1/2014,104324
C1028,10/1/2014,114598
C1028,11/1/2014,114450
C1028,12/1/2014,265453
C1028,1/1/2015,104340
C1028,2/1/2015,123340
C1028,3/1/2015,130932
C1028,4/1/2015,132391
C1028,5/1/2015,158274
C1028,6/1/2015,132094
C1028,7/1/2015,136931
C1028,8/1/2015,136581
C1028,9/1/2015,115845
C1028,10/1/2015,133069
C1028,11/1/2015,133690
C1028,12/1/2015,248048
C1028,1/1/2016,108521
C1028,2/1/2016,126407
C1028,3/1/2016,126446
C1028,4/1/2016,132589
C1028,5/1/2016,150513
C1028,6/1/2016,144998
C1028,7/1/2016,139286
C1028,8/1/2016,125446
C1028,9/1/2016,132809
C1028,10/1/2016,133830
C1028,11/1/2016,190430
C1028,12/1/2016,313973
C1028,1/1/2017,135485
C1028,2/1/2017,181763
C1028,3/1/2017,212362
C1028,4/1/2017,194358
C1028,5/1/2017,232772
C1028,6/1/2017,171088
C1028,7/1/2017,182271
C1029,1/1/2013,718
C1029,2/1/2013,1081
C1029,3/1/2013,1020
C1029,4/1/2013,982
C1029,5/1/2013,831
C1029,6/1/2013,725
C1029,7/1/2013,669
C1029,8/1/2013,331
C1029,9/1/2013,20
C1029,10/1/2013,478
C1029,11/1/2013,836
C1029,12/1/2013,2230
C1029,1/1/2014,765
C1029,2/1/2014,1126
C1029,3/1/2014,1187
C1029,4/1/2014,1029
C1029,5/1/2014,1033
C1029,6/1/2014,1338
C1029,7/1/2014,1319
C1029,8/1/2014,1399
C1029,9/1/2014,1115
C1029,10/1/2014,238
C1029,11/1/2014,37
C1029,12/1/2014,6
C1029,1/1/2015,737
C1029,2/1/2015,1163
C1029,3/1/2015,1292
C1029,4/1/2015,151
C1029,5/1/2015,31
C1029,6/1/2015,17
C1029,7/1/2015,6
C1029,8/1/2015,2
C1029,9/1/2015,454
C1029,10/1/2015,941
C1029,11/1/2015,660
C1029,12/1/2015,1188
C1029,1/1/2016,467
C1029,2/1/2016,599
C1029,3/1/2016,607
C1029,4/1/2016,628
C1029,5/1/2016,606
C1029,6/1/2016,595
C1029,7/1/2016,568
C1029,8/1/2016,688
C1029,9/1/2016,701
C1029,10/1/2016,697
C1029,11/1/2016,537
C1029,12/1/2016,1047
C1029,1/1/2017,532
C1029,2/1/2017,594
C1029,3/1/2017,237
